Country,Year,OFR_forecast,PriceIndex_forecast
Antigua and Barbuda,2020,3265.4411764705883,915.0037511910305
Antigua and Barbuda,2021,3310.6617647058824,921.4283122936962
Antigua and Barbuda,2022,3355.8823529411766,927.8528733963617
Antigua and Barbuda,2023,3401.1029411764707,934.2774344990274
Antigua and Barbuda,2024,3446.323529411765,940.7019956016932
Antigua and Barbuda,2025,3491.5441176470586,947.1265567043587
Argentina,2019,1445.2385314193937,459.3506919973285
Argentina,2020,1464.7347420196747,462.4700432892684
Argentina,2021,1484.2309526199558,465.58939458120824
Argentina,2022,1503.727163220237,468.70874587314813
Argentina,2023,1523.223373820518,471.82809716508797
Argentina,2024,1542.719584420799,474.94744845702786
Argentina,2025,1562.21579502108,478.0667997489676
Armenia,2019,251.16754269044085,402.3543970457806
Armenia,2020,254.80765200479507,405.2912904548739
Armenia,2021,258.44776131914927,408.22818386396716
Armenia,2022,262.0878706335035,411.16507727306043
Armenia,2023,265.7279799478577,414.1019706821538
Armenia,2024,269.3680892622119,417.0388640912471
Armenia,2025,273.00819857656614,419.97575750034036
Aruba,2019,50.397058823529406,402.3543970457806
Aruba,2020,51.127450980392155,405.2912904548739
Aruba,2021,51.8578431372549,408.2281838639673
Aruba,2022,52.588235294117645,411.16507727306043
Aruba,2023,53.31862745098039,414.10197068215376
Aruba,2024,54.049019607843135,417.0388640912471
Aruba,2025,54.779411764705884,419.97575750034036
Australia,2019,831.872711924649,316.9643243563427
Australia,2020,842.4795628221077,318.9980276303872
Australia,2021,853.0864137195664,321.03173090443164
Australia,2022,863.6932646170251,323.0654341784762
Australia,2023,874.3001155144838,325.0991374525208
Australia,2024,884.9069664119424,327.1328407265653
Australia,2025,895.5138173094011,329.16654400060986
Austria,2019,42.005656108597286,107.15016041496382
Austria,2020,41.165158371040725,106.08878685727983
Austria,2021,40.324660633484164,105.02741329959584
Austria,2022,39.484162895927604,103.96603974191186
Austria,2023,38.64366515837104,102.90466618422788
Austria,2024,37.80316742081448,101.84329262654389
Austria,2025,36.96266968325792,100.78191906885989
Azerbaijan,2019,3.701265929910458,402.3543970457806
Azerbaijan,2020,3.7549074651265517,405.2912904548739
Azerbaijan,2021,3.8085490003426457,408.22818386396716
Azerbaijan,2022,3.862190535558739,411.16507727306043
Azerbaijan,2023,3.9158320707748326,414.1019706821538
Azerbaijan,2024,3.969473605990926,417.0388640912471
Azerbaijan,2025,4.02311514120702,419.97575750034036
BES,2019,27.100840336134453,402.3543970457806
BES,2020,27.493606138107417,405.2912904548739
BES,2021,27.88637194008038,408.22818386396716
BES,2022,28.279137742053344,411.16507727306055
BES,2023,28.671903544026307,414.1019706821538
BES,2024,29.06466934599927,417.0388640912471
BES,2025,29.45743514797223,419.97575750034036
BLM,2019,101.47058823529412,402.3543970457806
BLM,2020,102.94117647058823,405.2912904548739
BLM,2021,104.41176470588235,408.22818386396716
BLM,2022,105.88235294117646,411.16507727306043
BLM,2023,107.3529411764706,414.1019706821538
BLM,2024,108.82352941176471,417.0388640912471
BLM,2025,110.29411764705883,419.97575750034036
Bahamas,2019,1844.4485294117649,552.889022825429
Bahamas,2020,1869.7303921568628,556.7043974322671
Bahamas,2021,1895.012254901961,560.5197720391052
Bahamas,2022,1920.294117647059,564.3351466459433
Bahamas,2023,1945.575980392157,568.1505212527815
Bahamas,2024,1970.857843137255,571.9658958596195
Bahamas,2025,1996.139705882353,575.7812704664576
Bahrain,2019,1901.1029411764705,604.0415781633686
Bahrain,2020,1927.2058823529412,608.2171162852263
Bahrain,2021,1953.3088235294117,612.3926544070838
Bahrain,2022,1979.4117647058824,616.5681925289415
Bahrain,2023,2005.514705882353,620.7437306507991
Bahrain,2024,2031.6176470588234,624.9192687726567
Bahrain,2025,2057.720588235294,629.0948068945142
Bangladesh,2019,2166.3447676502915,487.39029006735126
Bangladesh,2020,2196.2917932684118,490.78251943497554
Bangladesh,2021,2226.2388188865316,494.17474880259965
Bangladesh,2022,2256.185844504652,497.56697817022393
Bangladesh,2023,2286.132870122772,500.95920753784816
